V1,V2
129,577
130,30
130,34
130,377
130,489
130,625
131,53
131,195
131,334
131,417
131,451
131,466
131,610
131,623
132,27
132,45
132,152
132,473
132,477
132,567
132,590
132,651
133,28
133,87
133,220
133,285
133,553
134,83
134,193
134,250
134,401
134,402
134,428
134,533
135,209
135,484
135,548
136,44
137,37
137,101
137,200
137,208
137,250
137,455
137,610
137,613
138,17
138,33
138,68
138,236
138,247
138,345
138,440
138,569
138,628
139,17
139,177
139,219
139,276
139,291
139,398
139,402
139,406
139,419
142,104
143,348
143,513
143,576
144,5
144,150
144,436
144,513
144,550
144,621
146,9
146,296
146,442
146,519
146,535
147,6
147,304
147,305
147,390
147,414
147,436
147,535
148,40
148,256
148,554
148,608
149,40
149,559
150,513
150,536
151,255
151,282
151,305
151,416
151,680
152,27
152,45
152,132
152,254
152,284
152,326
152,473
152,477
152,508
153,289
154,30
154,84
154,97
154,122
154,200
154,214
154,500
154,612
154,685
154,1036
155,133
155,152
155,238
155,252
155,455
155,567
155,589
155,679
156,560
156,650
157,40
158,96
158,129
158,196
158,368
158,1072
159,193
159,241
159,404
159,430
159,431
159,438
159,607
159,628
159,1015
160,83
160,531
161,127
161,128
161,165
161,166
161,215
161,236
161,276
161,509
161,516
162,165
162,166
162,569
163,94
163,167
163,199
163,441
163,459
163,464
163,480
163,654
163,678
164,43
164,74
164,168
164,295
164,307
164,427
164,459
164,702
165,162
165,166
165,236
165,313
165,369
165,440
165,569
166,162
166,165
166,348
166,621
166,748
167,131
167,179
167,199
167,285
167,441
167,957
167,959
168,43
168,72
168,152
168,164
168,295
168,329
168,427
168,678
168,702
169,101
169,164
169,218
169,268
169,307
169,322
169,360
169,408
169,606
169,801
170,39
170,240
170,257
170,340
170,439
170,599
170,611
170,645
171,9
171,66
171,89
171,178
171,406
171,516
171,533
172,207
172,288
172,382
172,439
172,478
172,498
172,564
172,649
174,6
174,162
174,165
174,166
174,248
174,260
174,320
174,551
176,111
176,231
176,283
176,356
176,361
176,460
176,648
177,219
177,397
177,526
177,570
177,607
177,674
179,28
179,87
179,220
179,222
179,285
179,355
179,470
179,553
179,615
180,53
180,191
180,228
180,250
180,331
180,610
181,110
181,211
181,301
181,318
181,384
181,898
183,74
183,496
183,567
183,780
183,1096
184,21
184,188
185,35
185,183
185,254
185,556
187,266
187,383
187,402
187,462
187,490
187,531
187,575
187,588
187,646
188,21
188,43
188,57
188,164
188,184
188,308
188,427
188,602
188,732
189,83
189,89
189,290
189,305
189,393
189,433
189,436
189,437
189,532
190,338
191,53
191,99
191,220
191,227
191,355
191,558
191,610
194,222
194,285
194,292
194,355
194,391
194,452
194,528
194,605
194,615
194,672
195,37
195,331
195,347
195,487
195,610
196,129
196,141
196,305
196,390
196,433
196,436
196,537
196,562
196,577
196,605
197,145
197,221
197,255
197,270
197,337
197,341
197,646
198,225
198,293
198,340
198,528
198,582
198,611
199,43
199,163
199,269
199,463
199,464
199,473
199,477
199,544
199,678
201,444
201,551
201,593
201,617
201,635
201,670
201,731
201,1087
202,74
202,378
202,560
202,678
203,70
203,215
203,264
203,269
203,356
203,678
204,183
204,252
204,334
204,342
204,604
204,610
204,679
204,685
206,147
206,278
206,304
206,305
206,353
206,370
206,390
206,643
207,19
207,172
207,179
207,615
207,625
207,649
208,101
208,137
208,342
208,455
208,1109
209,118
209,135
209,211
209,548
210,76
210,84
210,183
210,295
210,299
210,384
210,481
210,500
211,58
211,94
211,464
211,603
